model,tau,budget_r,n,k,events,TP,precision,recall
enet,15,0.05,747,38,134,16,0.42105263157894735,0.11940298507462686
enet,15,0.06,747,45,134,21,0.4666666666666667,0.15671641791044777
enet,15,0.07,747,53,134,23,0.4339622641509434,0.17164179104477612
enet,15,0.08,747,60,134,26,0.43333333333333335,0.19402985074626866
enet,15,0.09,747,68,134,28,0.4117647058823529,0.208955223880597
enet,15,0.1,747,75,134,33,0.44,0.2462686567164179
enet,15,0.11,747,83,134,35,0.42168674698795183,0.26119402985074625
enet,15,0.12,747,90,134,37,0.4111111111111111,0.27611940298507465
enet,15,0.13,747,98,134,39,0.3979591836734694,0.291044776119403
enet,15,0.14,747,105,134,39,0.37142857142857144,0.291044776119403
enet,15,0.15,747,113,134,40,0.35398230088495575,0.29850746268656714
enet,15,0.16,747,120,134,40,0.3333333333333333,0.29850746268656714
enet,15,0.17,747,127,134,41,0.3228346456692913,0.30597014925373134
enet,15,0.18,747,135,134,45,0.3333333333333333,0.3358208955223881
enet,15,0.19,747,142,134,46,0.323943661971831,0.34328358208955223
enet,15,0.2,747,150,134,47,0.31333333333333335,0.35074626865671643
enet,16,0.01,747,8,71,3,0.375,0.04225352112676056
enet,16,0.02,747,15,71,5,0.3333333333333333,0.07042253521126761
enet,16,0.03,747,23,71,7,0.30434782608695654,0.09859154929577464
enet,16,0.04,747,30,71,7,0.23333333333333334,0.09859154929577464
enet,16,0.05,747,38,71,8,0.21052631578947367,0.11267605633802817
enet,16,0.06,747,45,71,10,0.2222222222222222,0.14084507042253522
enet,16,0.07,747,53,71,12,0.22641509433962265,0.16901408450704225
enet,16,0.08,747,60,71,14,0.23333333333333334,0.19718309859154928
enet,16,0.09,747,68,71,16,0.23529411764705882,0.22535211267605634
enet,16,0.1,747,75,71,19,0.25333333333333335,0.2676056338028169
enet,16,0.11,747,83,71,21,0.25301204819277107,0.29577464788732394
enet,16,0.12,747,90,71,22,0.24444444444444444,0.30985915492957744
enet,16,0.13,747,98,71,24,0.24489795918367346,0.3380281690140845
enet,16,0.14,747,105,71,24,0.22857142857142856,0.3380281690140845
enet,16,0.15,747,113,71,24,0.21238938053097345,0.3380281690140845
enet,16,0.16,747,120,71,24,0.2,0.3380281690140845
enet,16,0.17,747,127,71,24,0.1889763779527559,0.3380281690140845
enet,16,0.18,747,135,71,26,0.1925925925925926,0.36619718309859156
enet,16,0.19,747,142,71,27,0.19014084507042253,0.38028169014084506
enet,16,0.2,747,150,71,28,0.18666666666666668,0.39436619718309857
enet,17,0.01,747,8,29,2,0.25,0.06896551724137931
enet,17,0.02,747,15,29,3,0.2,0.10344827586206896
enet,17,0.03,747,23,29,4,0.17391304347826086,0.13793103448275862
enet,17,0.04,747,30,29,4,0.13333333333333333,0.13793103448275862
enet,17,0.05,747,38,29,4,0.10526315789473684,0.13793103448275862
enet,17,0.06,747,45,29,5,0.1111111111111111,0.1724137931034483
