model,horizon,outer_fold,threshold,nominal_budget_r,N,events,k,realized_alarm_fraction,TP,FP,FN,TN,precision,recall,specificity,false_positive_rate,false_alarm_fraction_of_alarms,missed_event_fraction,random_expected_recall,recall_enrichment_over_random,date_start,date_end,score_context,dataset_sha256,split_sha256,alarm_run_id
HGBR,5,1,15,0.05,249,59,13,0.05220883534136546,6,7,53,183,0.46153846153846156,0.1016949152542373,0.9631578947368421,0.03684210526315789,0.5384615384615384,0.8983050847457628,0.05220883534136546,1.9478487614080837,2021-10-15,2022-06-20,retrospective_offline_top_k,6ed147cd585e5e8083292683f9be3cf585e97e4d46fa0e3224d24a4e2b42cbbb,f83baf5732ffbf88b9a448a3d9ab9fa270f7495fe44d1559c1ac49795a30881a,retrospective_h5_alarm_budget_1a7fa526c263_6ed147cd_f83baf57
HGBR,5,1,15,0.1,249,59,25,0.10040160642570281,9,16,50,174,0.36,0.15254237288135594,0.9157894736842105,0.08421052631578947,0.64,0.847457627118644,0.10040160642570281,1.5193220338983051,2021-10-15,2022-06-20,retrospective_offline_top_k,6ed147cd585e5e8083292683f9be3cf585e97e4d46fa0e3224d24a4e2b42cbbb,f83baf5732ffbf88b9a448a3d9ab9fa270f7495fe44d1559c1ac49795a30881a,retrospective_h5_alarm_budget_1a7fa526c263_6ed147cd_f83baf57
HGBR,5,1,16,0.05,249,31,13,0.05220883534136546,3,10,28,208,0.23076923076923078,0.0967741935483871,0.9541284403669725,0.045871559633027525,0.7692307692307693,0.9032258064516129,0.05220883534136546,1.8535980148883375,2021-10-15,2022-06-20,retrospective_offline_top_k,6ed147cd585e5e8083292683f9be3cf585e97e4d46fa0e3224d24a4e2b42cbbb,f83baf5732ffbf88b9a448a3d9ab9fa270f7495fe44d1559c1ac49795a30881a,retrospective_h5_alarm_budget_1a7fa526c263_6ed147cd_f83baf57
HGBR,5,1,16,0.1,249,31,25,0.10040160642570281,3,22,28,196,0.12,0.0967741935483871,0.8990825688073395,0.10091743119266056,0.88,0.9032258064516129,0.10040160642570281,0.9638709677419355,2021-10-15,2022-06-20,retrospective_offline_top_k,6ed147cd585e5e8083292683f9be3cf585e97e4d46fa0e3224d24a4e2b42cbbb,f83baf5732ffbf88b9a448a3d9ab9fa270f7495fe44d1559c1ac49795a30881a,retrospective_h5_alarm_budget_1a7fa526c263_6ed147cd_f83baf57
HGBR,5,1,17,0.05,249,16,13,0.05220883534136546,2,11,14,222,0.15384615384615385,0.125,0.9527896995708155,0.04721030042918455,0.8461538461538461,0.875,0.05220883534136546,2.394230769230769,2021-10-15,2022-06-20,retrospective_offline_top_k,6ed147cd585e5e8083292683f9be3cf585e97e4d46fa0e3224d24a4e2b42cbbb,f83baf5732ffbf88b9a448a3d9ab9fa270f7495fe44d1559c1ac49795a30881a,retrospective_h5_alarm_budget_1a7fa526c263_6ed147cd_f83baf57
HGBR,5,1,17,0.1,249,16,25,0.10040160642570281,2,23,14,210,0.08,0.125,0.9012875536480687,0.09871244635193133,0.92,0.875,0.10040160642570281,1.245,2021-10-15,2022-06-20,retrospective_offline_top_k,6ed147cd585e5e8083292683f9be3cf585e97e4d46fa0e3224d24a4e2b42cbbb,f83baf5732ffbf88b9a448a3d9ab9fa270f7495fe44d1559c1ac49795a30881a,retrospective_h5_alarm_budget_1a7fa526c263_6ed147cd_f83baf57
HGBR,5,2,15,0.05,249,20,13,0.05220883534136546,2,11,18,218,0.15384615384615385,0.1,0.9519650655021834,0.048034934497816595,0.8461538461538461,0.9,0.05220883534136546,1.9153846153846157,2022-06-21,2023-02-24,retrospective_offline_top_k,6ed147cd585e5e8083292683f9be3cf585e97e4d46fa0e3224d24a4e2b42cbbb,f83baf5732ffbf88b9a448a3d9ab9fa270f7495fe44d1559c1ac49795a30881a,retrospective_h5_alarm_budget_1a7fa526c263_6ed147cd_f83baf57
HGBR,5,2,15,0.1,249,20,25,0.10040160642570281,3,22,17,207,0.12,0.15,0.9039301310043668,0.09606986899563319,0.88,0.85,0.10040160642570281,1.494,2022-06-21,2023-02-24,retrospective_offline_top_k,6ed147cd585e5e8083292683f9be3cf585e97e4d46fa0e3224d24a4e2b42cbbb,f83baf5732ffbf88b9a448a3d9ab9fa270f7495fe44d1559c1ac49795a30881a,retrospective_h5_alarm_budget_1a7fa526c263_6ed147cd_f83baf57
HGBR,5,2,16,0.05,249,7,13,0.05220883534136546,0,13,7,229,0.0,0.0,0.9462809917355371,0.05371900826446281,1.0,1.0,0.05220883534136546,0.0,2022-06-21,2023-02-24,retrospective_offline_top_k,6ed147cd585e5e8083292683f9be3cf585e97e4d46fa0e3224d24a4e2b42cbbb,f83baf5732ffbf88b9a448a3d9ab9fa270f7495fe44d1559c1ac49795a30881a,retrospective_h5_alarm_budget_1a7fa526c263_6ed147cd_f83baf57
HGBR,5,2,16,0.1,249,7,25,0.10040160642570281,1,24,6,218,0.04,0.14285714285714285,0.9008264462809917,0.09917355371900827,0.96,0.8571428571428571,0.10040160642570281,1.4228571428571428,2022-06-21,2023-02-24,retrospective_offline_top_k,6ed147cd585e5e8083292683f9be3cf585e97e4d46fa0e3224d24a4e2b42cbbb,f83baf5732ffbf88b9a448a3d9ab9fa270f7495fe44d1559c1ac49795a30881a,retrospective_h5_alarm_budget_1a7fa526c263_6ed147cd_f83baf57
HGBR,5,2,17,0.05,249,1,13,0.05220883534136546,0,13,1,235,0.0,0.0,0.9475806451612904,0.05241935483870968,1.0,1.0,0.05220883534136546,0.0,2022-06-21,2023-02-24,retrospective_offline_top_k,6ed147cd585e5e8083292683f9be3cf585e97e4d46fa0e3224d24a4e2b42cbbb,f83baf5732ffbf88b9a448a3d9ab9fa270f7495fe44d1559c1ac49795a30881a,retrospective_h5_alarm_budget_1a7fa526c263_6ed147cd_f83baf57
HGBR,5,2,17,0.1,249,1,25,0.10040160642570281,0,25,1,223,0.0,0.0,0.8991935483870968,0.10080645161290322,1.0,1.0,0.10040160642570281,0.0,2022-06-21,2023-02-24,retrospective_offline_top_k,6ed147cd585e5e8083292683f9be3cf585e97e4d46fa0e3224d24a4e2b42cbbb,f83baf5732ffbf88b9a448a3d9ab9fa270f7495fe44d1559c1ac49795a30881a,retrospective_h5_alarm_budget_1a7fa526c263_6ed147cd_f83baf57
HGBR,5,3,15,0.05,249,55,13,0.05220883534136546,10,3,45,191,0.7692307692307693,0.18181818181818182,0.9845360824742269,0.015463917525773196,0.23076923076923078,0.8181818181818182,0.05220883534136546,3.482517482517483,2023-02-25,2023-10-31,retrospective_offline_top_k,6ed147cd585e5e8083292683f9be3cf585e97e4d46fa0e3224d24a4e2b42cbbb,f83baf5732ffbf88b9a448a3d9ab9fa270f7495fe44d1559c1ac49795a30881a,retrospective_h5_alarm_budget_1a7fa526c263_6ed147cd_f83baf57
HGBR,5,3,15,0.1,249,55,25,0.10040160642570281,16,9,39,185,0.64,0.2909090909090909,0.9536082474226805,0.04639175257731959,0.36,0.7090909090909091,0.10040160642570281,2.8974545454545453,2023-02-25,2023-10-31,retrospective_offline_top_k,6ed147cd585e5e8083292683f9be3cf585e97e4d46fa0e3224d24a4e2b42cbbb,f83baf5732ffbf88b9a448a3d9ab9fa270f7495fe44d1559c1ac49795a30881a,retrospective_h5_alarm_budget_1a7fa526c263_6ed147cd_f83baf57
HGBR,5,3,16,0.05,249,33,13,0.05220883534136546,7,6,26,210,0.5384615384615384,0.21212121212121213,0.9722222222222222,0.027777777777777776,0.46153846153846156,0.7878787878787878,0.05220883534136546,4.062937062937063,2023-02-25,2023-10-31,retrospective_offline_top_k,6ed147cd585e5e8083292683f9be3cf585e97e4d46fa0e3224d24a4e2b42cbbb,f83baf5732ffbf88b9a448a3d9ab9fa270f7495fe44d1559c1ac49795a30881a,retrospective_h5_alarm_budget_1a7fa526c263_6ed147cd_f83baf57
HGBR,5,3,16,0.1,249,33,25,0.10040160642570281,11,14,22,202,0.44,0.3333333333333333,0.9351851851851852,0.06481481481481481,0.56,0.6666666666666666,0.10040160642570281,3.32,2023-02-25,2023-10-31,retrospective_offline_top_k,6ed147cd585e5e8083292683f9be3cf585e97e4d46fa0e3224d24a4e2b42cbbb,f83baf5732ffbf88b9a448a3d9ab9fa270f7495fe44d1559c1ac49795a30881a,retrospective_h5_alarm_budget_1a7fa526c263_6ed147cd_f83baf57
