model,outer_fold,threshold,nominal_budget_r,eligible_N,alarms_issued,realized_alarm_fraction,difference_from_nominal,absolute_difference_from_nominal,under_or_over_budget,longest_alarm_streak,maximum_alarms_in_any_7_day_window,days_between_alarms_mean,days_between_alarms_median,burden_audit_pass
Persistence,3,17,0.1,219,40,0.182648401826484,0.082648401826484,0.082648401826484,over,9,7,5.564102564102564,2.0,True
Ridge,1,15,0.05,219,0,0.0,-0.05,0.05,under,0,0,,,True
Ridge,1,15,0.1,219,0,0.0,-0.1,0.1,under,0,0,,,True
Ridge,1,16,0.05,219,0,0.0,-0.05,0.05,under,0,0,,,True
Ridge,1,16,0.1,219,0,0.0,-0.1,0.1,under,0,0,,,True
Ridge,1,17,0.05,219,0,0.0,-0.05,0.05,under,0,0,,,True
Ridge,1,17,0.1,219,0,0.0,-0.1,0.1,under,0,0,,,True
Ridge,2,15,0.05,219,51,0.2328767123287671,0.18287671232876712,0.18287671232876712,over,8,7,3.98,1.0,True
Ridge,2,15,0.1,219,79,0.3607305936073059,0.2607305936073059,0.2607305936073059,over,18,7,2.551282051282051,1.0,True
Ridge,2,16,0.05,219,51,0.2328767123287671,0.18287671232876712,0.18287671232876712,over,8,7,3.98,1.0,True
Ridge,2,16,0.1,219,79,0.3607305936073059,0.2607305936073059,0.2607305936073059,over,18,7,2.551282051282051,1.0,True
Ridge,2,17,0.05,219,51,0.2328767123287671,0.18287671232876712,0.18287671232876712,over,8,7,3.98,1.0,True
Ridge,2,17,0.1,219,79,0.3607305936073059,0.2607305936073059,0.2607305936073059,over,18,7,2.551282051282051,1.0,True
Ridge,3,15,0.05,219,21,0.0958904109589041,0.0458904109589041,0.0458904109589041,over,14,7,1.25,1.0,True
Ridge,3,15,0.1,219,30,0.136986301369863,0.036986301369863,0.036986301369863,over,14,7,1.9655172413793103,1.0,True
Ridge,3,16,0.05,219,21,0.0958904109589041,0.0458904109589041,0.0458904109589041,over,14,7,1.25,1.0,True
Ridge,3,16,0.1,219,30,0.136986301369863,0.036986301369863,0.036986301369863,over,14,7,1.9655172413793103,1.0,True
Ridge,3,17,0.05,219,21,0.0958904109589041,0.0458904109589041,0.0458904109589041,over,14,7,1.25,1.0,True
Ridge,3,17,0.1,219,30,0.136986301369863,0.036986301369863,0.036986301369863,over,14,7,1.9655172413793103,1.0,True
