model,horizon,outer_fold,threshold,nominal_budget_r,eligible_N,eligible_events,alarms_issued,realized_alarm_fraction,TP,FP,FN,TN,precision,recall,specificity,false_positive_rate,false_alarm_fraction_of_alarms,missed_event_fraction,nominal_budget_difference,startup_N,score_context,sequential_run_id
HGBR,5,1,17,0.1,219,13,2,0.0091324200913242,0,2,13,204,0.0,0.0,0.9902912621359223,0.009708737864077669,1.0,1.0,-0.0908675799086758,30,historical_sequential_past_only,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57
HGBR,5,2,15,0.05,219,20,28,0.1278538812785388,5,23,15,176,0.17857142857142858,0.25,0.8844221105527639,0.11557788944723618,0.8214285714285714,0.75,0.0778538812785388,30,historical_sequential_past_only,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57
HGBR,5,2,15,0.1,219,20,47,0.2146118721461187,8,39,12,160,0.1702127659574468,0.4,0.8040201005025126,0.19597989949748743,0.8297872340425532,0.6,0.1146118721461187,30,historical_sequential_past_only,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57
HGBR,5,2,16,0.05,219,7,28,0.1278538812785388,2,26,5,186,0.07142857142857142,0.2857142857142857,0.8773584905660378,0.12264150943396226,0.9285714285714286,0.7142857142857143,0.0778538812785388,30,historical_sequential_past_only,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57
HGBR,5,2,16,0.1,219,7,47,0.2146118721461187,2,45,5,167,0.0425531914893617,0.2857142857142857,0.7877358490566038,0.21226415094339623,0.9574468085106383,0.7142857142857143,0.1146118721461187,30,historical_sequential_past_only,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57
HGBR,5,2,17,0.05,219,1,28,0.1278538812785388,0,28,1,190,0.0,0.0,0.8715596330275229,0.12844036697247707,1.0,1.0,0.0778538812785388,30,historical_sequential_past_only,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57
HGBR,5,2,17,0.1,219,1,47,0.2146118721461187,0,47,1,171,0.0,0.0,0.7844036697247706,0.21559633027522937,1.0,1.0,0.1146118721461187,30,historical_sequential_past_only,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57
HGBR,5,3,15,0.05,219,49,18,0.0821917808219178,14,4,35,166,0.7777777777777778,0.2857142857142857,0.9764705882352941,0.023529411764705882,0.2222222222222222,0.7142857142857143,0.0321917808219178,30,historical_sequential_past_only,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57
HGBR,5,3,15,0.1,219,49,23,0.1050228310502283,18,5,31,165,0.782608695652174,0.3673469387755102,0.9705882352941176,0.029411764705882353,0.21739130434782608,0.6326530612244898,0.005022831050228299,30,historical_sequential_past_only,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57
HGBR,5,3,16,0.05,219,32,18,0.0821917808219178,11,7,21,180,0.6111111111111112,0.34375,0.9625668449197861,0.0374331550802139,0.3888888888888889,0.65625,0.0321917808219178,30,historical_sequential_past_only,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57
HGBR,5,3,16,0.1,219,32,23,0.1050228310502283,14,9,18,178,0.6086956521739131,0.4375,0.9518716577540107,0.0481283422459893,0.391304347826087,0.5625,0.005022831050228299,30,historical_sequential_past_only,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57
HGBR,5,3,17,0.05,219,12,18,0.0821917808219178,5,13,7,194,0.2777777777777778,0.4166666666666667,0.9371980676328503,0.06280193236714976,0.7222222222222222,0.5833333333333334,0.0321917808219178,30,historical_sequential_past_only,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57
HGBR,5,3,17,0.1,219,12,23,0.1050228310502283,6,17,6,190,0.2608695652173913,0.5,0.9178743961352657,0.0821256038647343,0.7391304347826086,0.5,0.005022831050228299,30,historical_sequential_past_only,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57
HybridRank_fixed_documented,5,1,15,0.05,219,48,4,0.0182648401826484,3,1,45,170,0.75,0.0625,0.9941520467836257,0.005847953216374269,0.25,0.9375,-0.0317351598173516,30,historical_sequential_past_only,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57
HybridRank_fixed_documented,5,1,15,0.1,219,48,8,0.0365296803652968,6,2,42,169,0.75,0.125,0.9883040935672515,0.011695906432748537,0.25,0.875,-0.0634703196347032,30,historical_sequential_past_only,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57
HybridRank_fixed_documented,5,1,16,0.05,219,28,3,0.0136986301369863,2,1,26,190,0.6666666666666666,0.07142857142857142,0.9947643979057592,0.005235602094240838,0.3333333333333333,0.9285714285714286,-0.0363013698630137,30,historical_sequential_past_only,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57
HybridRank_fixed_documented,5,1,16,0.1,219,28,13,0.0593607305936073,6,7,22,184,0.46153846153846156,0.21428571428571427,0.9633507853403142,0.03664921465968586,0.5384615384615384,0.7857142857142857,-0.0406392694063927,30,historical_sequential_past_only,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57
HybridRank_fixed_documented,5,1,17,0.05,219,13,7,0.0319634703196347,1,6,12,200,0.14285714285714285,0.07692307692307693,0.970873786407767,0.02912621359223301,0.8571428571428571,0.9230769230769231,-0.0180365296803653,30,historical_sequential_past_only,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57
HybridRank_fixed_documented,5,1,17,0.1,219,13,12,0.0547945205479452,1,11,12,195,0.08333333333333333,0.07692307692307693,0.9466019417475728,0.05339805825242718,0.9166666666666666,0.9230769230769231,-0.0452054794520548,30,historical_sequential_past_only,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57
HybridRank_fixed_documented,5,2,15,0.05,219,20,20,0.091324200913242,2,18,18,181,0.1,0.1,0.9095477386934674,0.09045226130653267,0.9,0.9,0.041324200913242,30,historical_sequential_past_only,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57
HybridRank_fixed_documented,5,2,15,0.1,219,20,31,0.1415525114155251,3,28,17,171,0.0967741935483871,0.15,0.8592964824120602,0.1407035175879397,0.9032258064516129,0.85,0.0415525114155251,30,historical_sequential_past_only,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57
HybridRank_fixed_documented,5,2,16,0.05,219,7,18,0.0821917808219178,1,17,6,195,0.05555555555555555,0.14285714285714285,0.9198113207547169,0.08018867924528301,0.9444444444444444,0.8571428571428571,0.0321917808219178,30,historical_sequential_past_only,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57
HybridRank_fixed_documented,5,2,16,0.1,219,7,32,0.1461187214611872,2,30,5,182,0.0625,0.2857142857142857,0.8584905660377359,0.14150943396226415,0.9375,0.7142857142857143,0.0461187214611872,30,historical_sequential_past_only,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57
HybridRank_fixed_documented,5,2,17,0.05,219,1,17,0.0776255707762557,0,17,1,201,0.0,0.0,0.9220183486238532,0.0779816513761468,1.0,1.0,0.0276255707762557,30,historical_sequential_past_only,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57
HybridRank_fixed_documented,5,2,17,0.1,219,1,32,0.1461187214611872,0,32,1,186,0.0,0.0,0.8532110091743119,0.14678899082568808,1.0,1.0,0.0461187214611872,30,historical_sequential_past_only,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57
