model,horizon,outer_fold,threshold,nominal_budget_r,eligible_N,eligible_events,candidate_alarms,alarms_issued,alarms_suppressed_by_quota,realized_alarm_fraction,TP,FP,FN,TN,precision,recall,specificity,false_positive_rate,false_alarm_fraction_of_alarms,missed_event_fraction,nominal_budget_difference,date_start,date_end,dataset_sha256,split_sha256,source_sequential_run_id,quota_run_id
ElasticNet,5,3,15,0.1,219,49,40,22,18,0.1004566210045662,7,15,42,155,0.3181818181818182,0.14285714285714285,0.9117647058823529,0.08823529411764706,0.6818181818181818,0.8571428571428571,0.0004566210045661989,2023-03-27,2023-10-31,6ed147cd585e5e8083292683f9be3cf585e97e4d46fa0e3224d24a4e2b42cbbb,f83baf5732ffbf88b9a448a3d9ab9fa270f7495fe44d1559c1ac49795a30881a,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57,quota_enforced_h5_policy_e98a21d77033_6ed147cd_f83baf57
ElasticNet,5,3,16,0.05,219,32,33,11,22,0.0502283105022831,1,10,31,177,0.09090909090909091,0.03125,0.946524064171123,0.053475935828877004,0.9090909090909091,0.96875,0.00022831050228309946,2023-03-27,2023-10-31,6ed147cd585e5e8083292683f9be3cf585e97e4d46fa0e3224d24a4e2b42cbbb,f83baf5732ffbf88b9a448a3d9ab9fa270f7495fe44d1559c1ac49795a30881a,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57,quota_enforced_h5_policy_e98a21d77033_6ed147cd_f83baf57
ElasticNet,5,3,16,0.1,219,32,40,22,18,0.1004566210045662,4,18,28,169,0.18181818181818182,0.125,0.9037433155080213,0.0962566844919786,0.8181818181818182,0.875,0.0004566210045661989,2023-03-27,2023-10-31,6ed147cd585e5e8083292683f9be3cf585e97e4d46fa0e3224d24a4e2b42cbbb,f83baf5732ffbf88b9a448a3d9ab9fa270f7495fe44d1559c1ac49795a30881a,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57,quota_enforced_h5_policy_e98a21d77033_6ed147cd_f83baf57
ElasticNet,5,3,17,0.05,219,12,33,11,22,0.0502283105022831,1,10,11,197,0.09090909090909091,0.08333333333333333,0.9516908212560387,0.04830917874396135,0.9090909090909091,0.9166666666666666,0.00022831050228309946,2023-03-27,2023-10-31,6ed147cd585e5e8083292683f9be3cf585e97e4d46fa0e3224d24a4e2b42cbbb,f83baf5732ffbf88b9a448a3d9ab9fa270f7495fe44d1559c1ac49795a30881a,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57,quota_enforced_h5_policy_e98a21d77033_6ed147cd_f83baf57
ElasticNet,5,3,17,0.1,219,12,40,22,18,0.1004566210045662,4,18,8,189,0.18181818181818182,0.3333333333333333,0.9130434782608695,0.08695652173913043,0.8181818181818182,0.6666666666666666,0.0004566210045661989,2023-03-27,2023-10-31,6ed147cd585e5e8083292683f9be3cf585e97e4d46fa0e3224d24a4e2b42cbbb,f83baf5732ffbf88b9a448a3d9ab9fa270f7495fe44d1559c1ac49795a30881a,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57,quota_enforced_h5_policy_e98a21d77033_6ed147cd_f83baf57
HGBR,5,1,15,0.05,219,48,2,1,1,0.0045662100456621,0,1,48,170,0.0,0.0,0.9941520467836257,0.005847953216374269,1.0,1.0,-0.0454337899543379,2021-11-14,2022-06-20,6ed147cd585e5e8083292683f9be3cf585e97e4d46fa0e3224d24a4e2b42cbbb,f83baf5732ffbf88b9a448a3d9ab9fa270f7495fe44d1559c1ac49795a30881a,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57,quota_enforced_h5_policy_e98a21d77033_6ed147cd_f83baf57
HGBR,5,1,15,0.1,219,48,2,1,1,0.0045662100456621,0,1,48,170,0.0,0.0,0.9941520467836257,0.005847953216374269,1.0,1.0,-0.0954337899543379,2021-11-14,2022-06-20,6ed147cd585e5e8083292683f9be3cf585e97e4d46fa0e3224d24a4e2b42cbbb,f83baf5732ffbf88b9a448a3d9ab9fa270f7495fe44d1559c1ac49795a30881a,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57,quota_enforced_h5_policy_e98a21d77033_6ed147cd_f83baf57
HGBR,5,1,16,0.05,219,28,2,1,1,0.0045662100456621,0,1,28,190,0.0,0.0,0.9947643979057592,0.005235602094240838,1.0,1.0,-0.0454337899543379,2021-11-14,2022-06-20,6ed147cd585e5e8083292683f9be3cf585e97e4d46fa0e3224d24a4e2b42cbbb,f83baf5732ffbf88b9a448a3d9ab9fa270f7495fe44d1559c1ac49795a30881a,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57,quota_enforced_h5_policy_e98a21d77033_6ed147cd_f83baf57
HGBR,5,1,16,0.1,219,28,2,1,1,0.0045662100456621,0,1,28,190,0.0,0.0,0.9947643979057592,0.005235602094240838,1.0,1.0,-0.0954337899543379,2021-11-14,2022-06-20,6ed147cd585e5e8083292683f9be3cf585e97e4d46fa0e3224d24a4e2b42cbbb,f83baf5732ffbf88b9a448a3d9ab9fa270f7495fe44d1559c1ac49795a30881a,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57,quota_enforced_h5_policy_e98a21d77033_6ed147cd_f83baf57
HGBR,5,1,17,0.05,219,13,2,1,1,0.0045662100456621,0,1,13,205,0.0,0.0,0.9951456310679612,0.0048543689320388345,1.0,1.0,-0.0454337899543379,2021-11-14,2022-06-20,6ed147cd585e5e8083292683f9be3cf585e97e4d46fa0e3224d24a4e2b42cbbb,f83baf5732ffbf88b9a448a3d9ab9fa270f7495fe44d1559c1ac49795a30881a,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57,quota_enforced_h5_policy_e98a21d77033_6ed147cd_f83baf57
HGBR,5,1,17,0.1,219,13,2,1,1,0.0045662100456621,0,1,13,205,0.0,0.0,0.9951456310679612,0.0048543689320388345,1.0,1.0,-0.0954337899543379,2021-11-14,2022-06-20,6ed147cd585e5e8083292683f9be3cf585e97e4d46fa0e3224d24a4e2b42cbbb,f83baf5732ffbf88b9a448a3d9ab9fa270f7495fe44d1559c1ac49795a30881a,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57,quota_enforced_h5_policy_e98a21d77033_6ed147cd_f83baf57
HGBR,5,2,15,0.05,219,20,28,8,20,0.0365296803652968,1,7,19,192,0.125,0.05,0.964824120603015,0.035175879396984924,0.875,0.95,-0.013470319634703201,2022-07-21,2023-02-24,6ed147cd585e5e8083292683f9be3cf585e97e4d46fa0e3224d24a4e2b42cbbb,f83baf5732ffbf88b9a448a3d9ab9fa270f7495fe44d1559c1ac49795a30881a,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57,quota_enforced_h5_policy_e98a21d77033_6ed147cd_f83baf57
HGBR,5,2,15,0.1,219,20,47,19,28,0.0867579908675799,4,15,16,184,0.21052631578947367,0.2,0.9246231155778895,0.07537688442211055,0.7894736842105263,0.8,-0.013242009132420102,2022-07-21,2023-02-24,6ed147cd585e5e8083292683f9be3cf585e97e4d46fa0e3224d24a4e2b42cbbb,f83baf5732ffbf88b9a448a3d9ab9fa270f7495fe44d1559c1ac49795a30881a,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57,quota_enforced_h5_policy_e98a21d77033_6ed147cd_f83baf57
HGBR,5,2,16,0.05,219,7,28,8,20,0.0365296803652968,0,8,7,204,0.0,0.0,0.9622641509433962,0.03773584905660377,1.0,1.0,-0.013470319634703201,2022-07-21,2023-02-24,6ed147cd585e5e8083292683f9be3cf585e97e4d46fa0e3224d24a4e2b42cbbb,f83baf5732ffbf88b9a448a3d9ab9fa270f7495fe44d1559c1ac49795a30881a,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57,quota_enforced_h5_policy_e98a21d77033_6ed147cd_f83baf57
HGBR,5,2,16,0.1,219,7,47,19,28,0.0867579908675799,1,18,6,194,0.05263157894736842,0.14285714285714285,0.9150943396226415,0.08490566037735849,0.9473684210526315,0.8571428571428571,-0.013242009132420102,2022-07-21,2023-02-24,6ed147cd585e5e8083292683f9be3cf585e97e4d46fa0e3224d24a4e2b42cbbb,f83baf5732ffbf88b9a448a3d9ab9fa270f7495fe44d1559c1ac49795a30881a,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57,quota_enforced_h5_policy_e98a21d77033_6ed147cd_f83baf57
HGBR,5,2,17,0.05,219,1,28,8,20,0.0365296803652968,0,8,1,210,0.0,0.0,0.963302752293578,0.03669724770642202,1.0,1.0,-0.013470319634703201,2022-07-21,2023-02-24,6ed147cd585e5e8083292683f9be3cf585e97e4d46fa0e3224d24a4e2b42cbbb,f83baf5732ffbf88b9a448a3d9ab9fa270f7495fe44d1559c1ac49795a30881a,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57,quota_enforced_h5_policy_e98a21d77033_6ed147cd_f83baf57
HGBR,5,2,17,0.1,219,1,47,19,28,0.0867579908675799,0,19,1,199,0.0,0.0,0.9128440366972477,0.0871559633027523,1.0,1.0,-0.013242009132420102,2022-07-21,2023-02-24,6ed147cd585e5e8083292683f9be3cf585e97e4d46fa0e3224d24a4e2b42cbbb,f83baf5732ffbf88b9a448a3d9ab9fa270f7495fe44d1559c1ac49795a30881a,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57,quota_enforced_h5_policy_e98a21d77033_6ed147cd_f83baf57
HGBR,5,3,15,0.05,219,49,18,11,7,0.0502283105022831,8,3,41,167,0.7272727272727273,0.16326530612244897,0.9823529411764705,0.01764705882352941,0.2727272727272727,0.8367346938775511,0.00022831050228309946,2023-03-27,2023-10-31,6ed147cd585e5e8083292683f9be3cf585e97e4d46fa0e3224d24a4e2b42cbbb,f83baf5732ffbf88b9a448a3d9ab9fa270f7495fe44d1559c1ac49795a30881a,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57,quota_enforced_h5_policy_e98a21d77033_6ed147cd_f83baf57
