model,horizon,outer_fold,threshold,nominal_budget_r,eligible_N,capacity_bound,unconstrained_alarms,quota_enforced_alarms,alarms_suppressed_by_quota,unconstrained_realized_alarm_fraction,quota_enforced_realized_alarm_fraction,unconstrained_precision,quota_enforced_precision,unconstrained_recall,quota_enforced_recall,unconstrained_TP,unconstrained_FP,unconstrained_FN,unconstrained_TN,quota_enforced_TP,quota_enforced_FP,quota_enforced_FN,quota_enforced_TN,unconstrained_exceeds_capacity,quota_enforced_exceeds_capacity,source_context_unconstrained,source_context_quota
HGBR,5,1,15,0.1,219,22,2,1,1,0.0091324200913242,0.0045662100456621,0.0,0.0,0.0,0.0,0,2,48,169,0,1,48,170,False,False,historical_sequential_past_only,historical_sequential_past_only_with_cumulative_hard_cap
HGBR,5,1,16,0.05,219,11,2,1,1,0.0091324200913242,0.0045662100456621,0.0,0.0,0.0,0.0,0,2,28,189,0,1,28,190,False,False,historical_sequential_past_only,historical_sequential_past_only_with_cumulative_hard_cap
HGBR,5,1,16,0.1,219,22,2,1,1,0.0091324200913242,0.0045662100456621,0.0,0.0,0.0,0.0,0,2,28,189,0,1,28,190,False,False,historical_sequential_past_only,historical_sequential_past_only_with_cumulative_hard_cap
HGBR,5,1,17,0.05,219,11,2,1,1,0.0091324200913242,0.0045662100456621,0.0,0.0,0.0,0.0,0,2,13,204,0,1,13,205,False,False,historical_sequential_past_only,historical_sequential_past_only_with_cumulative_hard_cap
HGBR,5,1,17,0.1,219,22,2,1,1,0.0091324200913242,0.0045662100456621,0.0,0.0,0.0,0.0,0,2,13,204,0,1,13,205,False,False,historical_sequential_past_only,historical_sequential_past_only_with_cumulative_hard_cap
HGBR,5,2,15,0.05,219,11,28,8,20,0.1278538812785388,0.0365296803652968,0.17857142857142858,0.125,0.25,0.05,5,23,15,176,1,7,19,192,True,False,historical_sequential_past_only,historical_sequential_past_only_with_cumulative_hard_cap
HGBR,5,2,15,0.1,219,22,47,19,28,0.2146118721461187,0.0867579908675799,0.1702127659574468,0.21052631578947367,0.4,0.2,8,39,12,160,4,15,16,184,True,False,historical_sequential_past_only,historical_sequential_past_only_with_cumulative_hard_cap
HGBR,5,2,16,0.05,219,11,28,8,20,0.1278538812785388,0.0365296803652968,0.07142857142857142,0.0,0.2857142857142857,0.0,2,26,5,186,0,8,7,204,True,False,historical_sequential_past_only,historical_sequential_past_only_with_cumulative_hard_cap
HGBR,5,2,16,0.1,219,22,47,19,28,0.2146118721461187,0.0867579908675799,0.0425531914893617,0.05263157894736842,0.2857142857142857,0.14285714285714285,2,45,5,167,1,18,6,194,True,False,historical_sequential_past_only,historical_sequential_past_only_with_cumulative_hard_cap
HGBR,5,2,17,0.05,219,11,28,8,20,0.1278538812785388,0.0365296803652968,0.0,0.0,0.0,0.0,0,28,1,190,0,8,1,210,True,False,historical_sequential_past_only,historical_sequential_past_only_with_cumulative_hard_cap
HGBR,5,2,17,0.1,219,22,47,19,28,0.2146118721461187,0.0867579908675799,0.0,0.0,0.0,0.0,0,47,1,171,0,19,1,199,True,False,historical_sequential_past_only,historical_sequential_past_only_with_cumulative_hard_cap
HGBR,5,3,15,0.05,219,11,18,11,7,0.0821917808219178,0.0502283105022831,0.7777777777777778,0.7272727272727273,0.2857142857142857,0.16326530612244897,14,4,35,166,8,3,41,167,True,False,historical_sequential_past_only,historical_sequential_past_only_with_cumulative_hard_cap
HGBR,5,3,15,0.1,219,22,23,22,1,0.1050228310502283,0.1004566210045662,0.782608695652174,0.7727272727272727,0.3673469387755102,0.3469387755102041,18,5,31,165,17,5,32,165,True,False,historical_sequential_past_only,historical_sequential_past_only_with_cumulative_hard_cap
HGBR,5,3,16,0.05,219,11,18,11,7,0.0821917808219178,0.0502283105022831,0.6111111111111112,0.5454545454545454,0.34375,0.1875,11,7,21,180,6,5,26,182,True,False,historical_sequential_past_only,historical_sequential_past_only_with_cumulative_hard_cap
HGBR,5,3,16,0.1,219,22,23,22,1,0.1050228310502283,0.1004566210045662,0.6086956521739131,0.5909090909090909,0.4375,0.40625,14,9,18,178,13,9,19,178,True,False,historical_sequential_past_only,historical_sequential_past_only_with_cumulative_hard_cap
HGBR,5,3,17,0.05,219,11,18,11,7,0.0821917808219178,0.0502283105022831,0.2777777777777778,0.18181818181818182,0.4166666666666667,0.16666666666666666,5,13,7,194,2,9,10,198,True,False,historical_sequential_past_only,historical_sequential_past_only_with_cumulative_hard_cap
HGBR,5,3,17,0.1,219,22,23,22,1,0.1050228310502283,0.1004566210045662,0.2608695652173913,0.22727272727272727,0.5,0.4166666666666667,6,17,6,190,5,17,7,190,True,False,historical_sequential_past_only,historical_sequential_past_only_with_cumulative_hard_cap
HGBR,5,pooled,15,0.05,657,33,48,20,28,0.0730593607305936,0.030441400304414,0.3958333333333333,0.45,0.1623931623931624,0.07692307692307693,19,29,98,511,9,11,108,529,True,False,historical_sequential_past_only,historical_sequential_past_only_with_cumulative_hard_cap
HGBR,5,pooled,15,0.1,657,66,72,42,30,0.1095890410958904,0.0639269406392694,0.3611111111111111,0.5,0.2222222222222222,0.1794871794871795,26,46,91,494,21,21,96,519,True,False,historical_sequential_past_only,historical_sequential_past_only_with_cumulative_hard_cap
HGBR,5,pooled,16,0.05,657,33,48,20,28,0.0730593607305936,0.030441400304414,0.2708333333333333,0.3,0.19402985074626866,0.08955223880597014,13,35,54,555,6,14,61,576,True,False,historical_sequential_past_only,historical_sequential_past_only_with_cumulative_hard_cap
HGBR,5,pooled,16,0.1,657,66,72,42,30,0.1095890410958904,0.0639269406392694,0.2222222222222222,0.3333333333333333,0.23880597014925373,0.208955223880597,16,56,51,534,14,28,53,562,True,False,historical_sequential_past_only,historical_sequential_past_only_with_cumulative_hard_cap
HGBR,5,pooled,17,0.05,657,33,48,20,28,0.0730593607305936,0.030441400304414,0.10416666666666667,0.1,0.19230769230769232,0.07692307692307693,5,43,21,588,2,18,24,613,True,False,historical_sequential_past_only,historical_sequential_past_only_with_cumulative_hard_cap
HGBR,5,pooled,17,0.1,657,66,72,42,30,0.1095890410958904,0.0639269406392694,0.08333333333333333,0.11904761904761904,0.23076923076923078,0.19230769230769232,6,66,20,565,5,37,21,594,True,False,historical_sequential_past_only,historical_sequential_past_only_with_cumulative_hard_cap
HybridRank_fixed_documented,5,1,15,0.05,219,11,4,4,0,0.0182648401826484,0.0182648401826484,0.75,0.75,0.0625,0.0625,3,1,45,170,3,1,45,170,False,False,historical_sequential_past_only,historical_sequential_past_only_with_cumulative_hard_cap
HybridRank_fixed_documented,5,1,15,0.1,219,22,8,8,0,0.0365296803652968,0.0365296803652968,0.75,0.75,0.125,0.125,6,2,42,169,6,2,42,169,False,False,historical_sequential_past_only,historical_sequential_past_only_with_cumulative_hard_cap
HybridRank_fixed_documented,5,1,16,0.05,219,11,3,3,0,0.0136986301369863,0.0136986301369863,0.6666666666666666,0.6666666666666666,0.07142857142857142,0.07142857142857142,2,1,26,190,2,1,26,190,False,False,historical_sequential_past_only,historical_sequential_past_only_with_cumulative_hard_cap
HybridRank_fixed_documented,5,1,16,0.1,219,22,13,11,2,0.0593607305936073,0.0502283105022831,0.46153846153846156,0.5454545454545454,0.21428571428571427,0.21428571428571427,6,7,22,184,6,5,22,186,False,False,historical_sequential_past_only,historical_sequential_past_only_with_cumulative_hard_cap
HybridRank_fixed_documented,5,1,17,0.05,219,11,7,6,1,0.0319634703196347,0.0273972602739726,0.14285714285714285,0.0,0.07692307692307693,0.0,1,6,12,200,0,6,13,200,False,False,historical_sequential_past_only,historical_sequential_past_only_with_cumulative_hard_cap
HybridRank_fixed_documented,5,1,17,0.1,219,22,12,11,1,0.0547945205479452,0.0502283105022831,0.08333333333333333,0.09090909090909091,0.07692307692307693,0.07692307692307693,1,11,12,195,1,10,12,196,False,False,historical_sequential_past_only,historical_sequential_past_only_with_cumulative_hard_cap
HybridRank_fixed_documented,5,2,15,0.05,219,11,20,6,14,0.091324200913242,0.0273972602739726,0.1,0.0,0.1,0.0,2,18,18,181,0,6,20,193,True,False,historical_sequential_past_only,historical_sequential_past_only_with_cumulative_hard_cap
HybridRank_fixed_documented,5,2,15,0.1,219,22,31,13,18,0.1415525114155251,0.0593607305936073,0.0967741935483871,0.0,0.15,0.0,3,28,17,171,0,13,20,186,True,False,historical_sequential_past_only,historical_sequential_past_only_with_cumulative_hard_cap
HybridRank_fixed_documented,5,2,16,0.05,219,11,18,6,12,0.0821917808219178,0.0273972602739726,0.05555555555555555,0.0,0.14285714285714285,0.0,1,17,6,195,0,6,7,206,True,False,historical_sequential_past_only,historical_sequential_past_only_with_cumulative_hard_cap
HybridRank_fixed_documented,5,2,16,0.1,219,22,32,12,20,0.1461187214611872,0.0547945205479452,0.0625,0.0,0.2857142857142857,0.0,2,30,5,182,0,12,7,200,True,False,historical_sequential_past_only,historical_sequential_past_only_with_cumulative_hard_cap
HybridRank_fixed_documented,5,2,17,0.05,219,11,17,11,6,0.0776255707762557,0.0502283105022831,0.0,0.0,0.0,0.0,0,17,1,201,0,11,1,207,True,False,historical_sequential_past_only,historical_sequential_past_only_with_cumulative_hard_cap
HybridRank_fixed_documented,5,2,17,0.1,219,22,32,22,10,0.1461187214611872,0.1004566210045662,0.0,0.0,0.0,0.0,0,32,1,186,0,22,1,196,True,False,historical_sequential_past_only,historical_sequential_past_only_with_cumulative_hard_cap
HybridRank_fixed_documented,5,3,15,0.05,219,11,39,11,28,0.1780821917808219,0.0502283105022831,0.46153846153846156,0.18181818181818182,0.3673469387755102,0.04081632653061224,18,21,31,149,2,9,47,161,True,False,historical_sequential_past_only,historical_sequential_past_only_with_cumulative_hard_cap
HybridRank_fixed_documented,5,3,15,0.1,219,22,50,22,28,0.228310502283105,0.1004566210045662,0.44,0.2727272727272727,0.4489795918367347,0.12244897959183673,22,28,27,142,6,16,43,154,True,False,historical_sequential_past_only,historical_sequential_past_only_with_cumulative_hard_cap
HybridRank_fixed_documented,5,3,16,0.05,219,11,37,11,26,0.1689497716894977,0.0502283105022831,0.43243243243243246,0.09090909090909091,0.5,0.03125,16,21,16,166,1,10,31,177,True,False,historical_sequential_past_only,historical_sequential_past_only_with_cumulative_hard_cap
HybridRank_fixed_documented,5,3,16,0.1,219,22,49,22,27,0.2237442922374429,0.1004566210045662,0.3469387755102041,0.09090909090909091,0.53125,0.0625,17,32,15,155,2,20,30,167,True,False,historical_sequential_past_only,historical_sequential_past_only_with_cumulative_hard_cap
HybridRank_fixed_documented,5,3,17,0.05,219,11,37,11,26,0.1689497716894977,0.0502283105022831,0.1891891891891892,0.09090909090909091,0.5833333333333334,0.08333333333333333,7,30,5,177,1,10,11,197,True,False,historical_sequential_past_only,historical_sequential_past_only_with_cumulative_hard_cap
HybridRank_fixed_documented,5,3,17,0.1,219,22,53,22,31,0.2420091324200913,0.1004566210045662,0.1509433962264151,0.13636363636363635,0.6666666666666666,0.25,8,45,4,162,3,19,9,188,True,False,historical_sequential_past_only,historical_sequential_past_only_with_cumulative_hard_cap
HybridRank_fixed_documented,5,pooled,15,0.05,657,33,63,21,42,0.0958904109589041,0.0319634703196347,0.36507936507936506,0.23809523809523808,0.19658119658119658,0.042735042735042736,23,40,94,500,5,16,112,524,True,False,historical_sequential_past_only,historical_sequential_past_only_with_cumulative_hard_cap
HybridRank_fixed_documented,5,pooled,15,0.1,657,66,89,43,46,0.1354642313546423,0.0654490106544901,0.34831460674157305,0.27906976744186046,0.26495726495726496,0.10256410256410256,31,58,86,482,12,31,105,509,True,False,historical_sequential_past_only,historical_sequential_past_only_with_cumulative_hard_cap
HybridRank_fixed_documented,5,pooled,16,0.05,657,33,58,20,38,0.0882800608828006,0.030441400304414,0.3275862068965517,0.15,0.2835820895522388,0.04477611940298507,19,39,48,551,3,17,64,573,True,False,historical_sequential_past_only,historical_sequential_past_only_with_cumulative_hard_cap
HybridRank_fixed_documented,5,pooled,16,0.1,657,66,94,45,49,0.1430745814307458,0.0684931506849315,0.26595744680851063,0.17777777777777778,0.373134328358209,0.11940298507462686,25,69,42,521,8,37,59,553,True,False,historical_sequential_past_only,historical_sequential_past_only_with_cumulative_hard_cap
HybridRank_fixed_documented,5,pooled,17,0.05,657,33,61,28,33,0.0928462709284627,0.0426179604261796,0.13114754098360656,0.03571428571428571,0.3076923076923077,0.038461538461538464,8,53,18,578,1,27,25,604,True,False,historical_sequential_past_only,historical_sequential_past_only_with_cumulative_hard_cap
HybridRank_fixed_documented,5,pooled,17,0.1,657,66,97,55,42,0.1476407914764079,0.0837138508371385,0.09278350515463918,0.07272727272727272,0.34615384615384615,0.15384615384615385,9,88,17,543,4,51,22,580,True,False,historical_sequential_past_only,historical_sequential_past_only_with_cumulative_hard_cap
Persistence,5,1,15,0.05,219,11,8,7,1,0.0365296803652968,0.0319634703196347,0.375,0.2857142857142857,0.0625,0.041666666666666664,3,5,45,166,2,5,46,166,False,False,historical_sequential_past_only,historical_sequential_past_only_with_cumulative_hard_cap
Persistence,5,1,15,0.1,219,22,18,16,2,0.0821917808219178,0.0730593607305936,0.5,0.5,0.1875,0.16666666666666666,9,9,39,162,8,8,40,163,False,False,historical_sequential_past_only,historical_sequential_past_only_with_cumulative_hard_cap
Persistence,5,1,16,0.05,219,11,8,7,1,0.0365296803652968,0.0319634703196347,0.25,0.14285714285714285,0.07142857142857142,0.03571428571428571,2,6,26,185,1,6,27,185,False,False,historical_sequential_past_only,historical_sequential_past_only_with_cumulative_hard_cap
Persistence,5,1,16,0.1,219,22,18,16,2,0.0821917808219178,0.0730593607305936,0.4444444444444444,0.4375,0.2857142857142857,0.25,8,10,20,181,7,9,21,182,False,False,historical_sequential_past_only,historical_sequential_past_only_with_cumulative_hard_cap
