dataset,metric_type,metric,horizon,tau_mgL,budget_r,model,model_key,model_label,ulsan_source_group,ulsan_value,seoul_value,delta_seoul_minus_ulsan,relative_change_pct,direction,baseline_available,improved_on_seoul
Seoul_Tancheon,alarm,precision,1,15.0,0.1,ElasticNet,enet_a0.1_l0.5,ElasticNet,main_alarm,0.5714285714285714,0.3025210084033613,-0.2689075630252101,-47.05882352941177,higher_is_better,1,0.0
Seoul_Tancheon,alarm,precision,1,15.0,0.1,HGBR,hgbr,HGBR,,,0.2857142857142857,,,higher_is_better,0,
Seoul_Tancheon,alarm,precision,1,15.0,0.1,Persistence,persistence,Persistence,main_alarm,0.6493506493506493,0.3193277310924369,-0.33002291825821245,-50.82352941176472,higher_is_better,1,0.0
Seoul_Tancheon,alarm,precision,1,16.0,0.05,ElasticNet,enet_a0.1_l0.5,ElasticNet,main_alarm,0.4358974358974359,0.1333333333333333,-0.3025641025641026,-69.41176470588236,higher_is_better,1,0.0
Seoul_Tancheon,alarm,precision,1,16.0,0.05,HGBR,hgbr,HGBR,,,0.1333333333333333,,,higher_is_better,0,
Seoul_Tancheon,alarm,precision,1,16.0,0.05,Persistence,persistence,Persistence,main_alarm,0.5128205128205128,0.1166666666666666,-0.3961538461538462,-77.25000000000001,higher_is_better,1,0.0
Seoul_Tancheon,alarm,precision,1,16.0,0.1,ElasticNet,enet_a0.1_l0.5,ElasticNet,main_alarm,0.3896103896103896,0.1008403361344537,-0.2887700534759359,-74.11764705882355,higher_is_better,1,0.0
Seoul_Tancheon,alarm,precision,1,16.0,0.1,HGBR,hgbr,HGBR,,,0.0840336134453781,,,higher_is_better,0,
Seoul_Tancheon,alarm,precision,1,16.0,0.1,Persistence,persistence,Persistence,main_alarm,0.4285714285714285,0.1008403361344537,-0.3277310924369748,-76.47058823529413,higher_is_better,1,0.0
Seoul_Tancheon,alarm,precision,1,17.0,0.05,ElasticNet,enet_a0.1_l0.5,ElasticNet,main_alarm,0.1538461538461538,0.0333333333333333,-0.1205128205128205,-78.33333333333334,higher_is_better,1,0.0
