n_points,model,MAE,RMSE,MASE1,MASE7,n
606,enet,1.7450790227538258,2.230869223067573,1.1264099721072607,0.8368041870498646,606
606,persistence,2.0437293949693736,2.6131063627803215,1.3191821921906108,0.9800136799584419,606
606,hgbr,1.7032449040943414,2.2473778400537667,1.0994069723473987,0.8167437971194679,606
624,hybrid_point,1.6504517190918375,2.1537302225347696,1.0691810517553224,0.7888945060202623,624
624,enet,1.7351354856664216,2.2180165949908948,1.1240401412793934,0.8293722476148798,624
624,persistence,2.0505769436176005,2.624712396784595,1.3283866398034785,0.9801491714534254,624
624,hgbr,1.6898352552799139,2.2292198523810915,1.0946941462350455,0.8077193252906616,624
642,hybrid_point,1.6271558526400731,2.13145538468693,1.068093806285794,0.7901530220226586,642
642,enet,1.7043730859332216,2.1917736478723477,1.1187805604065628,0.8276500018846767,642
642,persistence,2.0204880913470022,2.5987993394001467,1.326284026536519,0.981156641355714,642
642,hgbr,1.6727987590241842,2.209317884028113,1.0980546152216146,0.8123173895937102,642
660,hybrid_point,1.6409431906636194,2.148687996580894,1.073797914348229,0.7898434956125954,660
660,enet,1.7146856827742143,2.203431868893419,1.1220534144031544,0.8253383427683104,660
660,persistence,2.0381818410122032,2.616673837481767,1.3337423394019146,0.981048386780624,660
660,hgbr,1.6964293402869626,2.2341694735568507,1.1101068567173213,0.8165509249897582,660
678,hybrid_point,1.64909141818625,2.1587294843214244,1.0732345656349342,0.7922515278059082,678
678,enet,1.7227267632424685,2.2115612148226944,1.1211567103355038,0.8276271982981283,678
678,persistence,2.037330406605318,2.613980959372237,1.3259018814085861,0.978768132244443,678
678,hgbr,1.715458738040047,2.2573191570615947,1.1164266536599778,0.8241355155404292,678
696,hybrid_point,1.6445498298031138,2.1578834370742457,1.0700665705709833,0.7858054873945429,696
696,enet,1.7155564927087106,2.2067699965030307,1.1162687925323442,0.8197341798194314,696
696,persistence,2.0374281865426864,2.6174471004824538,1.3257024827392447,0.9735322214889838,696
696,hgbr,1.7109792288387597,2.253682958918239,1.1132904838407172,0.8175470529832134,696
714,hybrid_point,1.6788320491415714,2.196709822464113,1.0873753950585663,0.7946358121915362,714
714,enet,1.7474575145248712,2.240811901439679,1.1318239404448658,0.827118068203842,714
714,persistence,2.081302547989105,2.673127349811457,1.3480545487044175,0.9851357921617622,714
714,hgbr,1.7428918514278187,2.287563432034174,1.1288667716700618,0.8249570185591356,714
732,hybrid_point,1.6996403817927714,2.211288023217813,1.1036405753655574,0.8054149854146028,732
732,enet,1.786455752775307,2.2804988145579457,1.160013068634208,0.8465545120478242,732
732,persistence,2.080983633552093,2.6735233719323466,1.3512611251547444,0.9861235475574497,732
732,hgbr,1.7687271746102078,2.3062547661078545,1.148501234474381,0.8381534039797728,732
