model,scope,tau,budget_r,score_col,n,k,events,non_events,TP,FP,FN,TN,precision,recall,false_alarm_rate,miss_rate
bcr_tcn_v11_H5_v2,fold3,16.0,0.05,p_tau16,249,13,33,216,6,7,27,209,0.46153846153846156,0.18181818181818182,0.032407407407407406,0.8181818181818182
bcr_tcn_v11_H5_v2,overall,16.0,0.1,p_tau16,747,75,71,676,18,57,53,619,0.24,0.2535211267605634,0.08431952662721894,0.7464788732394366
bcr_tcn_v11_H5_v2,fold1,16.0,0.1,p_tau16,249,25,31,218,3,22,28,196,0.12,0.0967741935483871,0.10091743119266056,0.9032258064516129
bcr_tcn_v11_H5_v2,fold2,16.0,0.1,p_tau16,249,25,7,242,3,22,4,220,0.12,0.42857142857142855,0.09090909090909091,0.5714285714285714
bcr_tcn_v11_H5_v2,fold3,16.0,0.1,p_tau16,249,25,33,216,12,13,21,203,0.48,0.36363636363636365,0.06018518518518518,0.6363636363636364
bcr_tcn_v11_H5_v2,overall,17.0,0.05,p_tau17,747,38,29,718,3,35,26,683,0.07894736842105263,0.10344827586206896,0.04874651810584958,0.896551724137931
bcr_tcn_v11_H5_v2,fold1,17.0,0.05,p_tau17,249,13,16,233,2,11,14,222,0.15384615384615385,0.125,0.04721030042918455,0.875
bcr_tcn_v11_H5_v2,fold2,17.0,0.05,p_tau17,249,13,1,248,0,13,1,235,0.0,0.0,0.05241935483870968,1.0
bcr_tcn_v11_H5_v2,fold3,17.0,0.05,p_tau17,249,13,12,237,2,11,10,226,0.15384615384615385,0.16666666666666666,0.046413502109704644,0.8333333333333334
bcr_tcn_v11_H5_v2,overall,17.0,0.1,p_tau17,747,75,29,718,4,71,25,647,0.05333333333333334,0.13793103448275862,0.0988857938718663,0.8620689655172413
bcr_tcn_v11_H5_v2,fold1,17.0,0.1,p_tau17,249,25,16,233,2,23,14,210,0.08,0.125,0.09871244635193133,0.875
bcr_tcn_v11_H5_v2,fold2,17.0,0.1,p_tau17,249,25,1,248,0,25,1,223,0.0,0.0,0.10080645161290322,1.0
bcr_tcn_v11_H5_v2,fold3,17.0,0.1,p_tau17,249,25,12,237,2,23,10,214,0.08,0.16666666666666666,0.0970464135021097,0.8333333333333334
hybrid_rank_ens_H5_v2,overall,15.0,0.05,p_tau15,747,38,134,613,21,17,113,596,0.5526315789473685,0.15671641791044777,0.02773246329526917,0.8432835820895522
hybrid_rank_ens_H5_v2,fold1,15.0,0.05,p_tau15,249,13,59,190,11,2,48,188,0.8461538461538461,0.1864406779661017,0.010526315789473684,0.8135593220338984
hybrid_rank_ens_H5_v2,fold2,15.0,0.05,p_tau15,249,13,20,229,4,9,16,220,0.3076923076923077,0.2,0.039301310043668124,0.8
hybrid_rank_ens_H5_v2,fold3,15.0,0.05,p_tau15,249,13,55,194,7,6,48,188,0.5384615384615384,0.12727272727272726,0.030927835051546393,0.8727272727272727
hybrid_rank_ens_H5_v2,overall,15.0,0.1,p_tau15,747,75,134,613,27,48,107,565,0.36,0.20149253731343283,0.07830342577487764,0.7985074626865671
