model,model_full_name,source_group,horizon,tau_mgL,budget_r,precision,recall,TP,events,k,source_file,rank_recall,rank_precision
enet_a0.1_l0.5,"ElasticNet (alpha=0.1, l1_ratio=0.5)",main_alarm,1,17,0.05,0.1538461538461538,0.2,6,30,39,results/metrics/alarm_budget_H1.csv,3,3
enet_a0.01_l0.2,"ElasticNet (alpha=0.01, l1_ratio=0.2)",main_alarm,1,17,0.05,0.1282051282051282,0.1666666666666666,5,30,39,results/metrics/alarm_budget_H1.csv,4,4
enet_a0.01_l0.5,"ElasticNet (alpha=0.01, l1_ratio=0.5)",main_alarm,1,17,0.05,0.1282051282051282,0.1666666666666666,5,30,39,results/metrics/alarm_budget_H1.csv,4,4
enet_a0.1_l0.2,"ElasticNet (alpha=0.1, l1_ratio=0.2)",main_alarm,1,17,0.05,0.1282051282051282,0.1666666666666666,5,30,39,results/metrics/alarm_budget_H1.csv,4,4
enet_a1.0_l0.5,"ElasticNet (alpha=1.0, l1_ratio=0.5)",main_alarm,1,17,0.05,0.1282051282051282,0.1666666666666666,5,30,39,results/metrics/alarm_budget_H1.csv,4,4
enet_a0.01_l0.2,"ElasticNet (alpha=0.01, l1_ratio=0.2)",main_alarm,1,17,0.1,0.1818181818181818,0.4666666666666667,14,30,77,results/metrics/alarm_budget_H1.csv,1,1
enet_a0.01_l0.5,"ElasticNet (alpha=0.01, l1_ratio=0.5)",main_alarm,1,17,0.1,0.1818181818181818,0.4666666666666667,14,30,77,results/metrics/alarm_budget_H1.csv,1,1
persistence,Persistence baseline (carry-forward),main_alarm,1,17,0.1,0.1688311688311688,0.4333333333333333,13,30,77,results/metrics/alarm_budget_H1.csv,2,2
enet_a0.1_l0.2,"ElasticNet (alpha=0.1, l1_ratio=0.2)",main_alarm,1,17,0.1,0.1558441558441558,0.4,12,30,77,results/metrics/alarm_budget_H1.csv,3,3
enet_a0.1_l0.5,"ElasticNet (alpha=0.1, l1_ratio=0.5)",main_alarm,1,17,0.1,0.1558441558441558,0.4,12,30,77,results/metrics/alarm_budget_H1.csv,3,3
enet_a1.0_l0.2,"ElasticNet (alpha=1.0, l1_ratio=0.2)",main_alarm,1,17,0.1,0.1038961038961039,0.2666666666666666,8,30,77,results/metrics/alarm_budget_H1.csv,4,4
enet_a1.0_l0.5,"ElasticNet (alpha=1.0, l1_ratio=0.5)",main_alarm,1,17,0.1,0.0909090909090909,0.2333333333333333,7,30,77,results/metrics/alarm_budget_H1.csv,5,5
